family,Male,Female,Other,n
GPT-3 Legacy,48.05555555555556,47.87037037037037,4.074074074074076,2160
GPT-3.5,5.9259259259259265,91.66666666666666,2.407407407407419,540
GPT-4o,34.074074074074076,62.03703703703704,3.8888888888888857,1080
GPT-4.1,25.386040765904877,73.00802964793081,1.605929586164308,1619
Serie o,34.81481481481482,59.93827160493828,5.246913580246911,1620
GPT-5,11.526794742163801,87.71486349848333,0.7583417593528736,1978
