family,Male,Female,Other,n
GPT-3 Legacy,53.75,45.416666666666664,0.8333333333333357,240
GPT-3.5,0.0,100.0,0.0,60
GPT-4o,9.166666666666666,87.5,3.3333333333333286,120
GPT-4.1,11.11111111111111,87.22222222222223,1.6666666666666572,180
Serie o,17.77777777777778,81.11111111111111,1.1111111111111143,180
GPT-5,6.666666666666667,91.66666666666666,1.6666666666666714,240
