Variável,Coef.,EP,t,p-valor,Sig.
Intercepto,0.3934,0.0152,25.89,<0.001,***
is_positive,0.1971,0.0137,14.35,<0.001,***
order_F,-0.0468,0.0194,-2.41,0.0158,*
order_FM,-0.0849,0.0194,-4.38,<0.001,***
order_M,-0.0071,0.0194,-0.37,0.7128,
