family,Male,Female,Other,n
GPT-3 Legacy,54.166666666666664,44.583333333333336,1.25,240
GPT-3.5,0.0,100.0,0.0,60
GPT-4o,25.833333333333336,72.5,1.6666666666666572,120
GPT-4.1,41.66666666666667,56.666666666666664,1.6666666666666643,180
Serie o,43.888888888888886,56.111111111111114,0.0,180
GPT-5,32.5,65.0,2.5,240
