Variável,Coef.,EP,t,p-valor,Sig.
Intercepto,0.5259,0.017,30.96,<0.001,***
is_positive,-0.0352,0.0152,-2.32,0.0206,*
order_F,-0.0111,0.0215,-0.52,0.6051,
order_FM,-0.05,0.0215,-2.33,0.0200,*
order_M,0.0204,0.0215,0.95,0.3432,
